pokemon,movement
Hitmonchan,Toxic
Hitmonchan,Fire Punch
Hitmonchan,Ice Punch
Hitmonchan,Earthquake
Lickitung,Headbutt
Lickitung,Rest
Lickitung,Substitute
Lickitung,Dig
Lickitung,Seismic Toss
Lickitung,Rock Slide
Lickitung,Thunder Punch
Lickitung,Toxic
Lickitung,Fire Punch
Lickitung,Ice Punch
Lickitung,Thunderbolt
Lickitung,Flamethrower
Lickitung,Thunder
Lickitung,Earthquake
Lickitung,Solar Beam
Lickitung,Fire Blast
Lickitung,Surf
Lickitung,Hyper Beam
Lickitung,Blizzard
Lickitung,Ice Beam
Lickitung,Dream Eater
Koffing,Headbutt
Koffing,Rest
Koffing,Substitute
Koffing,Toxic
Koffing,Thunderbolt
Koffing,Flamethrower
Koffing,Thunder
Koffing,Self-Destruct
Koffing,Fire Blast
Weezing,Headbutt
Weezing,Rest
Weezing,Substitute
Weezing,Toxic
Weezing,Thunderbolt
Weezing,Flamethrower
Weezing,Thunder
Weezing,Self-Destruct
Weezing,Fire Blast
Weezing,Hyper Beam
Rhyhorn,Headbutt
Rhyhorn,Rest
Rhyhorn,Substitute
Rhyhorn,Dig
Rhyhorn,Rock Slide
Rhyhorn,Toxic
Rhyhorn,Thunderbolt
Rhyhorn,Flamethrower
Rhyhorn,Thunder
Rhyhorn,Earthquake
Rhyhorn,Fire Blast
Rhyhorn,Blizzard
Rhyhorn,Ice Beam
Rhydon,Headbutt
Rhydon,Rest
Rhydon,Substitute
Rhydon,Dig
Rhydon,Seismic Toss
Rhydon,Rock Slide
Rhydon,Thunder Punch
Rhydon,Toxic
Rhydon,Fire Punch
Rhydon,Ice Punch
Rhydon,Thunderbolt
Rhydon,Flamethrower
Rhydon,Thunder
Rhydon,Earthquake
Rhydon,Fire Blast
Rhydon,Surf
Rhydon,Hyper Beam
Rhydon,Blizzard
Rhydon,Ice Beam
Rhydon,Pay Day
Chansey,Headbutt
Chansey,Teleport
Chansey,Rest
Chansey,Light Screen
Chansey,Substitute
Chansey,Reflect
Chansey,Seismic Toss
Chansey,Thunder Wave
Chansey,Rock Slide
Chansey,Thunder Punch
Chansey,Toxic
Chansey,Tri Attack
Chansey,Fire Punch
Chansey,Ice Punch
Chansey,Thunderbolt
Chansey,Flamethrower
Chansey,Thunder
Chansey,Psychic
Chansey,Earthquake
Chansey,Solar Beam
Chansey,Fire Blast
Chansey,Hyper Beam
Chansey,Blizzard
Chansey,Ice Beam
Chansey,Dream Eater
Tangela,Headbutt
Tangela,Rest
Tangela,Substitute
Tangela,Reflect
Tangela,Toxic
Tangela,Solar Beam
Tangela,Hyper Beam
Tangela,Mega Drain
Kangaskhan,Headbutt
Kangaskhan,Rest
Kangaskhan,Substitute
Kangaskhan,Dig
Kangaskhan,Seismic Toss
Kangaskhan,Rock Slide
Kangaskhan,Thunder Punch
Kangaskhan,Toxic
Kangaskhan,Fire Punch
Kangaskhan,Ice Punch
Kangaskhan,Thunderbolt
Kangaskhan,Flamethrower
Kangaskhan,Thunder
Kangaskhan,Earthquake
Kangaskhan,Solar Beam
Kangaskhan,Fire Blast
Kangaskhan,Surf
Kangaskhan,Hyper Beam
Kangaskhan,Blizzard
Kangaskhan,Ice Beam
Horsea,Headbutt
Horsea,Rest
Horsea,Substitute
Horsea,Waterfall
Horsea,Toxic
Horsea,Surf
Horsea,Blizzard
Horsea,Ice Beam
Seadra,Headbutt
Seadra,Rest
Seadra,Substitute
Seadra,Waterfall
Seadra,Toxic
Seadra,Surf
Seadra,Hyper Beam
Seadra,Blizzard
Seadra,Ice Beam
Goldeen,Headbutt
Goldeen,Rest
Goldeen,Substitute
Goldeen,Waterfall
Goldeen,Toxic
Goldeen,Surf
Goldeen,Blizzard
Goldeen,Ice Beam
Seaking,Headbutt
Seaking,Rest
Seaking,Substitute
Seaking,Waterfall
Seaking,Toxic
Seaking,Surf
Seaking,Hyper Beam
Seaking,Blizzard
Seaking,Ice Beam
Staryu,Headbutt
Staryu,Teleport
Staryu,Rest
Staryu,Light Screen
Staryu,Substitute
Staryu,Reflect
Staryu,Thunder Wave
Staryu,Waterfall
Staryu,Toxic
Staryu,Tri Attack
Staryu,Thunderbolt
Staryu,Thunder
Staryu,Psychic
Staryu,Surf
Staryu,Blizzard
Staryu,Ice Beam
Starmie,Headbutt
Starmie,Teleport
Starmie,Rest
Starmie,Light Screen
Starmie,Substitute
Starmie,Reflect
Starmie,Thunder Wave
Starmie,Waterfall
Starmie,Toxic
Starmie,Tri Attack
Starmie,Thunderbolt
Starmie,Thunder
Starmie,Psychic
Starmie,Surf
Starmie,Hyper Beam
Starmie,Blizzard
Starmie,Ice Beam
Starmie,Dream Eater
Mr. Mime,Headbutt
Mr. Mime,Teleport
Mr. Mime,Rest
Mr. Mime,Light Screen
Mr. Mime,Substitute
Mr. Mime,Reflect
Mr. Mime,Seismic Toss
Mr. Mime,Thunder Wave
Mr. Mime,Thunder Punch
Mr. Mime,Toxic
Mr. Mime,Fire Punch
Mr. Mime,Ice Punch
Mr. Mime,Thunderbolt
Mr. Mime,Thunder
Mr. Mime,Psychic
Mr. Mime,Solar Beam
Mr. Mime,Hyper Beam
Mr. Mime,Dream Eater
Scyther,Headbutt
Scyther,Rest
Scyther,Light Screen
Scyther,Substitute
Scyther,Toxic
Scyther,Hyper Beam
Jynx,Headbutt
Jynx,Teleport
Jynx,Rest
Jynx,Light Screen
Jynx,Substitute
Jynx,Reflect
Jynx,Seismic Toss
Jynx,Toxic
Jynx,Ice Punch
Jynx,Psychic
Jynx,Hyper Beam
Jynx,Blizzard
Jynx,Ice Beam
Jynx,Dream Eater
Electabuzz,Headbutt
Electabuzz,Teleport
Electabuzz,Rest
Electabuzz,Light Screen
Electabuzz,Substitute
Electabuzz,Reflect
Electabuzz,Seismic Toss
Electabuzz,Thunder Wave
Electabuzz,Thunder Punch
Electabuzz,Toxic
Electabuzz,Fire Punch
Electabuzz,Ice Punch
Electabuzz,Thunderbolt
Electabuzz,Thunder
Electabuzz,Psychic
Electabuzz,Hyper Beam
Magmar,Headbutt
Magmar,Teleport
Magmar,Rest
Magmar,Substitute
Magmar,Seismic Toss
Magmar,Thunder Punch
Magmar,Toxic
Magmar,Fire Punch
Magmar,Flamethrower
Magmar,Psychic
Magmar,Fire Blast
Magmar,Hyper Beam
Pinsir,Headbutt
Pinsir,Rest
Pinsir,Substitute
Pinsir,Dig
Pinsir,Seismic Toss
Pinsir,Rock Slide
Pinsir,Toxic
Pinsir,Earthquake
Pinsir,Hyper Beam
Tauros,Headbutt
Tauros,Rest
Tauros,Substitute
Tauros,Rock Slide
Tauros,Toxic
Tauros,Thunderbolt
Tauros,Flamethrower
Tauros,Thunder
Tauros,Earthquake
Tauros,Solar Beam
Tauros,Fire Blast
Tauros,Surf
Tauros,Hyper Beam
Tauros,Blizzard
Tauros,Ice Beam
Gyarados,Headbutt
Gyarados,Rest
Gyarados,Substitute
Gyarados,Reflect
Gyarados,Thunder Wave
Gyarados,Waterfall
Gyarados,Toxic
Gyarados,Thunderbolt
Gyarados,Flamethrower
Gyarados,Thunder
Gyarados,Earthquake
Gyarados,Fire Blast
Gyarados,Surf
Gyarados,Hyper Beam
Gyarados,Blizzard
Gyarados,Ice Beam
Lapras,Headbutt
Lapras,Rest
Lapras,Substitute
Lapras,Reflect
Lapras,Waterfall
Lapras,Toxic
Lapras,Thunderbolt
Lapras,Thunder
Lapras,Psychic
Lapras,Solar Beam
Lapras,Surf
Lapras,Hyper Beam
Lapras,Blizzard
Lapras,Ice Beam
Lapras,Dream Eater
Eevee,Headbutt
Eevee,Rest
Eevee,Substitute
Eevee,Reflect
Eevee,Dig
Eevee,Toxic
Eevee,Pay Day
Vaporeon,Headbutt
Vaporeon,Rest
Vaporeon,Substitute
Vaporeon,Reflect
Vaporeon,Dig
Vaporeon,Waterfall
Vaporeon,Toxic
Vaporeon,Surf
Vaporeon,Hyper Beam
Vaporeon,Blizzard
Vaporeon,Ice Beam
Vaporeon,Pay Day
Jolteon,Headbutt
Jolteon,Rest
Jolteon,Light Screen
Jolteon,Substitute
Jolteon,Reflect
Jolteon,Dig
Jolteon,Thunder Wave
Jolteon,Toxic
Jolteon,Thunderbolt
Jolteon,Thunder
Jolteon,Hyper Beam
Jolteon,Pay Day
Flareon,Headbutt
Flareon,Rest
Flareon,Substitute
Flareon,Reflect
Flareon,Dig
Flareon,Toxic
Flareon,Flamethrower
Flareon,Fire Blast
Flareon,Hyper Beam
Flareon,Pay Day
Porygon,Headbutt
Porygon,Teleport
Porygon,Rest
Porygon,Substitute
Porygon,Reflect
Porygon,Thunder Wave
Porygon,Toxic
Porygon,Tri Attack
Porygon,Thunderbolt
Porygon,Thunder
Porygon,Psychic
Porygon,Solar Beam
Porygon,Hyper Beam
Porygon,Blizzard
Porygon,Ice Beam
Porygon,Dream Eater
Omanyte,Headbutt
Omanyte,Rest
Omanyte,Substitute
Omanyte,Reflect
Omanyte,Rock Slide
Omanyte,Waterfall
Omanyte,Toxic
Omanyte,Surf
Omanyte,Blizzard
Omanyte,Ice Beam
Omastar,Headbutt
Omastar,Rest
Omastar,Substitute
Omastar,Reflect
Omastar,Seismic Toss
Omastar,Rock Slide
Omastar,Waterfall
Omastar,Toxic
Omastar,Surf
Omastar,Hyper Beam
Omastar,Blizzard
Omastar,Ice Beam
Kabuto,Headbutt
Kabuto,Rest
Kabuto,Substitute
Kabuto,Reflect
Kabuto,Dig
Kabuto,Rock Slide
Kabuto,Waterfall
Kabuto,Toxic
Kabuto,Surf
Kabuto,Blizzard
Kabuto,Mega Drain
Kabuto,Ice Beam
Kabutops,Headbutt
Kabutops,Rest
Kabutops,Substitute
Kabutops,Reflect
Kabutops,Dig
Kabutops,Seismic Toss
Kabutops,Rock Slide
Kabutops,Waterfall
Kabutops,Toxic
Kabutops,Surf
Kabutops,Hyper Beam
Kabutops,Blizzard
Kabutops,Mega Drain
Kabutops,Ice Beam
Aerodactyl,Headbutt
Aerodactyl,Rest
Aerodactyl,Substitute
Aerodactyl,Reflect
Aerodactyl,Fly
Aerodactyl,Rock Slide
Aerodactyl,Toxic
Aerodactyl,Flamethrower
Aerodactyl,Earthquake
Aerodactyl,Fire Blast
Aerodactyl,Hyper Beam
Snorlax,Headbutt
Snorlax,Rest
Snorlax,Substitute
Snorlax,Reflect
Snorlax,Seismic Toss
Snorlax,Rock Slide
Snorlax,Thunder Punch
Snorlax,Toxic
Snorlax,Fire Punch
Snorlax,Ice Punch
Snorlax,Thunderbolt
Snorlax,Flamethrower
Snorlax,Thunder
Snorlax,Psychic
Snorlax,Earthquake
Snorlax,Self-Destruct
Snorlax,Solar Beam
Snorlax,Fire Blast
Snorlax,Surf
Snorlax,Hyper Beam
Snorlax,Blizzard
Snorlax,Ice Beam
Snorlax,Pay Day
Articuno,Headbutt
Articuno,Rest
Articuno,Substitute
Articuno,Reflect
Articuno,Fly
Articuno,Toxic
Articuno,Hyper Beam
Articuno,Blizzard
Articuno,Ice Beam
Zapdos,Headbutt
Zapdos,Rest
Zapdos,Light Screen
Zapdos,Substitute
Zapdos,Reflect
Zapdos,Fly
Zapdos,Thunder Wave
Zapdos,Toxic
Zapdos,Thunderbolt
Zapdos,Thunder
Zapdos,Hyper Beam
Moltres,Headbutt
Moltres,Rest
Moltres,Substitute
Moltres,Reflect
Moltres,Fly
Moltres,Toxic
Moltres,Flamethrower
Moltres,Solar Beam
Moltres,Fire Blast
Moltres,Hyper Beam
Dratini,Headbutt
Dratini,Rest
Dratini,Light Screen
Dratini,Substitute
Dratini,Reflect
Dratini,Thunder Wave
Dratini,Waterfall
Dratini,Toxic
Dratini,Thunderbolt
Dratini,Flamethrower
Dratini,Thunder
Dratini,Fire Blast
Dratini,Surf
Dratini,Hyper Beam
Dratini,Blizzard
Dratini,Ice Beam
Dragonair,Headbutt
Dragonair,Rest
Dragonair,Light Screen
Dragonair,Substitute
Dragonair,Reflect
Dragonair,Thunder Wave
Dragonair,Waterfall
Dragonair,Toxic
Dragonair,Thunderbolt
Dragonair,Flamethrower
Dragonair,Thunder
Dragonair,Fire Blast
Dragonair,Surf
Dragonair,Hyper Beam
Dragonair,Blizzard
Dragonair,Ice Beam
Dragonite,Headbutt
Dragonite,Rest
Dragonite,Light Screen
Dragonite,Substitute
Dragonite,Reflect
Dragonite,Fly
Dragonite,Thunder Wave
Dragonite,Rock Slide
Dragonite,Thunder Punch
Dragonite,Waterfall
Dragonite,Toxic
Dragonite,Fire Punch
Dragonite,Ice Punch
Dragonite,Thunderbolt
Dragonite,Flamethrower
Dragonite,Thunder
Dragonite,Earthquake
Dragonite,Fire Blast
Dragonite,Surf
Dragonite,Hyper Beam
Dragonite,Blizzard
Dragonite,Ice Beam
Mewtwo,Headbutt
Mewtwo,Teleport
Mewtwo,Rest
Mewtwo,Light Screen
Mewtwo,Substitute
Mewtwo,Reflect
Mewtwo,Seismic Toss
Mewtwo,Thunder Wave
Mewtwo,Rock Slide
Mewtwo,Thunder Punch
Mewtwo,Toxic
Mewtwo,Tri Attack
Mewtwo,Fire Punch
Mewtwo,Ice Punch
Mewtwo,Thunderbolt
Mewtwo,Flamethrower
Mewtwo,Thunder
Mewtwo,Psychic
Mewtwo,Earthquake
Mewtwo,Self-Destruct
Mewtwo,Solar Beam
Mewtwo,Fire Blast
Mewtwo,Hyper Beam
Mewtwo,Blizzard
Mewtwo,Ice Beam
Mewtwo,Pay Day
Mewtwo,Dream Eater
Mew,Headbutt
Mew,Teleport
Mew,Rest
Mew,Light Screen
Mew,Substitute
Mew,Reflect
Mew,Dig
Mew,Fly
Mew,Seismic Toss
Mew,Thunder Wave
Mew,Rock Slide
Mew,Thunder Punch
Mew,Waterfall
Mew,Toxic
Mew,Tri Attack
Mew,Fire Punch
Mew,Ice Punch
Mew,Thunderbolt
Mew,Flamethrower
Mew,Thunder
Mew,Psychic
Mew,Earthquake
Mew,Self-Destruct
Mew,Solar Beam
Mew,Fire Blast
Mew,Surf
Mew,Hyper Beam
Mew,Blizzard
Mew,Mega Drain
Mew,Ice Beam
Mew,Pay Day
Mew,Dream Eater
